"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 17 01:41:54 GMT 2023","Fri Nov 17 01:41:54 GMT 2023","312","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"failed","Fri Nov 17 01:41:56 GMT 2023","Fri Nov 17 01:41:56 GMT 2023","311","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"failed","Fri Nov 17 01:42:08 GMT 2023","Fri Nov 17 01:42:09 GMT 2023","309","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Fri Nov 17 01:41:50 GMT 2023","Fri Nov 17 01:41:51 GMT 2023","422","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Fri Nov 17 01:42:20 GMT 2023","Fri Nov 17 01:42:26 GMT 2023","5316","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"failed","Fri Nov 17 01:41:58 GMT 2023","Fri Nov 17 01:41:58 GMT 2023","297","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"failed","Fri Nov 17 01:42:06 GMT 2023","Fri Nov 17 01:42:06 GMT 2023","294","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"failed","Fri Nov 17 01:42:00 GMT 2023","Fri Nov 17 01:42:00 GMT 2023","298","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"passed","Fri Nov 17 01:42:07 GMT 2023","Fri Nov 17 01:42:07 GMT 2023","449","chromium","example.spec.js","","","","get started link",""
"passed","Fri Nov 17 01:42:06 GMT 2023","Fri Nov 17 01:42:07 GMT 2023","500","chromium","example.spec.js","","","","has title",""
"failed","Fri Nov 17 01:42:02 GMT 2023","Fri Nov 17 01:42:02 GMT 2023","291","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"failed","Fri Nov 17 01:42:04 GMT 2023","Fri Nov 17 01:42:04 GMT 2023","296","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Fri Nov 17 01:41:52 GMT 2023","Fri Nov 17 01:41:52 GMT 2023","301","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
