"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Dec 18 01:42:31 GMT 2023","Mon Dec 18 01:42:32 GMT 2023","389","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"failed","Mon Dec 18 01:42:25 GMT 2023","Mon Dec 18 01:42:26 GMT 2023","386","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"failed","Mon Dec 18 01:42:40 GMT 2023","Mon Dec 18 01:42:40 GMT 2023","299","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Mon Dec 18 01:42:37 GMT 2023","Mon Dec 18 01:42:37 GMT 2023","258","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"failed","Mon Dec 18 01:42:33 GMT 2023","Mon Dec 18 01:42:34 GMT 2023","265","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"failed","Mon Dec 18 01:42:35 GMT 2023","Mon Dec 18 01:42:36 GMT 2023","271","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Mon Dec 18 01:42:52 GMT 2023","Mon Dec 18 01:42:57 GMT 2023","5281","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"passed","Mon Dec 18 01:42:38 GMT 2023","Mon Dec 18 01:42:38 GMT 2023","518","chromium","example.spec.js","","","","has title",""
"failed","Mon Dec 18 01:42:29 GMT 2023","Mon Dec 18 01:42:30 GMT 2023","415","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"failed","Mon Dec 18 01:42:27 GMT 2023","Mon Dec 18 01:42:28 GMT 2023","255","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"failed","Mon Dec 18 01:42:21 GMT 2023","Mon Dec 18 01:42:22 GMT 2023","292","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Mon Dec 18 01:42:23 GMT 2023","Mon Dec 18 01:42:24 GMT 2023","424","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"passed","Mon Dec 18 01:42:38 GMT 2023","Mon Dec 18 01:42:39 GMT 2023","539","chromium","example.spec.js","","","","get started link",""
