"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 13 01:41:23 GMT 2023","Mon Nov 13 01:41:24 GMT 2023","358","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"failed","Mon Nov 13 01:41:34 GMT 2023","Mon Nov 13 01:41:35 GMT 2023","410","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Mon Nov 13 01:41:26 GMT 2023","Mon Nov 13 01:41:26 GMT 2023","351","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"failed","Mon Nov 13 01:41:47 GMT 2023","Mon Nov 13 01:41:52 GMT 2023","5382","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"failed","Mon Nov 13 01:41:31 GMT 2023","Mon Nov 13 01:41:31 GMT 2023","368","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"passed","Mon Nov 13 01:41:31 GMT 2023","Mon Nov 13 01:41:32 GMT 2023","713","chromium","example.spec.js","","","","has title",""
"failed","Mon Nov 13 01:41:21 GMT 2023","Mon Nov 13 01:41:21 GMT 2023","352","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"failed","Mon Nov 13 01:41:11 GMT 2023","Mon Nov 13 01:41:11 GMT 2023","349","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Mon Nov 13 01:41:14 GMT 2023","Mon Nov 13 01:41:14 GMT 2023","554","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"failed","Mon Nov 13 01:41:28 GMT 2023","Mon Nov 13 01:41:29 GMT 2023","366","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Mon Nov 13 01:41:19 GMT 2023","Mon Nov 13 01:41:19 GMT 2023","355","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"passed","Mon Nov 13 01:41:32 GMT 2023","Mon Nov 13 01:41:33 GMT 2023","540","chromium","example.spec.js","","","","get started link",""
"failed","Mon Nov 13 01:41:16 GMT 2023","Mon Nov 13 01:41:17 GMT 2023","357","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
