"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 01:39:15 GMT 2023","Mon Oct 16 01:39:15 GMT 2023","42","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"passed","Mon Oct 16 01:39:20 GMT 2023","Mon Oct 16 01:39:21 GMT 2023","1215","chromium","example.spec.js","","","","get started link",""
"passed","Mon Oct 16 01:39:19 GMT 2023","Mon Oct 16 01:39:20 GMT 2023","876","chromium","example.spec.js","","","","has title",""
"passed","Mon Oct 16 01:39:15 GMT 2023","Mon Oct 16 01:39:15 GMT 2023","15","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"passed","Mon Oct 16 01:39:15 GMT 2023","Mon Oct 16 01:39:15 GMT 2023","19","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"passed","Mon Oct 16 01:39:09 GMT 2023","Mon Oct 16 01:39:15 GMT 2023","5717","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"passed","Mon Oct 16 01:39:15 GMT 2023","Mon Oct 16 01:39:15 GMT 2023","12","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"passed","Mon Oct 16 01:39:21 GMT 2023","Mon Oct 16 01:39:25 GMT 2023","4440","chromium","login.spec.js","check information dashboard","","","test login successful",""
"passed","Mon Oct 16 01:39:17 GMT 2023","Mon Oct 16 01:39:19 GMT 2023","2339","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"passed","Mon Oct 16 01:39:25 GMT 2023","Mon Oct 16 01:39:27 GMT 2023","1928","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"passed","Mon Oct 16 01:39:15 GMT 2023","Mon Oct 16 01:39:15 GMT 2023","17","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"passed","Mon Oct 16 01:39:16 GMT 2023","Mon Oct 16 01:39:17 GMT 2023","1041","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"passed","Mon Oct 16 01:39:15 GMT 2023","Mon Oct 16 01:39:16 GMT 2023","268","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
