"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 14 01:41:07 GMT 2023","Thu Dec 14 01:41:08 GMT 2023","291","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Thu Dec 14 01:41:19 GMT 2023","Thu Dec 14 01:41:25 GMT 2023","5286","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"failed","Thu Dec 14 01:41:03 GMT 2023","Thu Dec 14 01:41:03 GMT 2023","274","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Thu Dec 14 01:40:59 GMT 2023","Thu Dec 14 01:40:59 GMT 2023","270","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"failed","Thu Dec 14 01:40:57 GMT 2023","Thu Dec 14 01:40:58 GMT 2023","277","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"failed","Thu Dec 14 01:40:51 GMT 2023","Thu Dec 14 01:40:52 GMT 2023","393","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"passed","Thu Dec 14 01:41:05 GMT 2023","Thu Dec 14 01:41:06 GMT 2023","535","chromium","example.spec.js","","","","has title",""
"failed","Thu Dec 14 01:40:53 GMT 2023","Thu Dec 14 01:40:54 GMT 2023","259","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"failed","Thu Dec 14 01:41:05 GMT 2023","Thu Dec 14 01:41:05 GMT 2023","263","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"passed","Thu Dec 14 01:41:06 GMT 2023","Thu Dec 14 01:41:06 GMT 2023","472","chromium","example.spec.js","","","","get started link",""
"failed","Thu Dec 14 01:40:49 GMT 2023","Thu Dec 14 01:40:50 GMT 2023","402","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Thu Dec 14 01:40:55 GMT 2023","Thu Dec 14 01:40:56 GMT 2023","263","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"failed","Thu Dec 14 01:41:01 GMT 2023","Thu Dec 14 01:41:01 GMT 2023","272","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
