"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 01:41:03 GMT 2023","Tue Dec 19 01:41:04 GMT 2023","582","chromium","example.spec.js","","","","has title",""
"failed","Tue Dec 19 01:40:57 GMT 2023","Tue Dec 19 01:40:57 GMT 2023","261","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"failed","Tue Dec 19 01:41:01 GMT 2023","Tue Dec 19 01:41:01 GMT 2023","256","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Tue Dec 19 01:40:55 GMT 2023","Tue Dec 19 01:40:55 GMT 2023","277","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"failed","Tue Dec 19 01:41:17 GMT 2023","Tue Dec 19 01:41:22 GMT 2023","5284","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"failed","Tue Dec 19 01:40:49 GMT 2023","Tue Dec 19 01:40:49 GMT 2023","277","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"failed","Tue Dec 19 01:41:02 GMT 2023","Tue Dec 19 01:41:03 GMT 2023","273","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"failed","Tue Dec 19 01:40:53 GMT 2023","Tue Dec 19 01:40:53 GMT 2023","266","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"failed","Tue Dec 19 01:41:05 GMT 2023","Tue Dec 19 01:41:05 GMT 2023","283","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Tue Dec 19 01:40:47 GMT 2023","Tue Dec 19 01:40:47 GMT 2023","429","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Tue Dec 19 01:40:51 GMT 2023","Tue Dec 19 01:40:51 GMT 2023","259","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"failed","Tue Dec 19 01:40:59 GMT 2023","Tue Dec 19 01:40:59 GMT 2023","266","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"passed","Tue Dec 19 01:41:04 GMT 2023","Tue Dec 19 01:41:04 GMT 2023","495","chromium","example.spec.js","","","","get started link",""
