"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 29 01:30:44 GMT 2023","Fri Dec 29 01:30:44 GMT 2023","275","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"failed","Fri Dec 29 01:30:48 GMT 2023","Fri Dec 29 01:30:48 GMT 2023","444","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"failed","Fri Dec 29 01:30:55 GMT 2023","Fri Dec 29 01:30:55 GMT 2023","272","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Fri Dec 29 01:31:07 GMT 2023","Fri Dec 29 01:31:12 GMT 2023","5286","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"failed","Fri Dec 29 01:30:37 GMT 2023","Fri Dec 29 01:30:38 GMT 2023","378","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"failed","Fri Dec 29 01:30:46 GMT 2023","Fri Dec 29 01:30:46 GMT 2023","384","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"passed","Fri Dec 29 01:30:52 GMT 2023","Fri Dec 29 01:30:53 GMT 2023","722","chromium","example.spec.js","","","","has title",""
"passed","Fri Dec 29 01:30:53 GMT 2023","Fri Dec 29 01:30:54 GMT 2023","468","chromium","example.spec.js","","","","get started link",""
"failed","Fri Dec 29 01:30:42 GMT 2023","Fri Dec 29 01:30:42 GMT 2023","370","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"failed","Fri Dec 29 01:30:52 GMT 2023","Fri Dec 29 01:30:52 GMT 2023","375","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"failed","Fri Dec 29 01:30:50 GMT 2023","Fri Dec 29 01:30:50 GMT 2023","277","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Fri Dec 29 01:30:40 GMT 2023","Fri Dec 29 01:30:40 GMT 2023","411","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"failed","Fri Dec 29 01:30:35 GMT 2023","Fri Dec 29 01:30:36 GMT 2023","436","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
