"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 12 01:42:29 GMT 2023","Tue Dec 12 01:42:30 GMT 2023","390","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"failed","Tue Dec 12 01:42:33 GMT 2023","Tue Dec 12 01:42:34 GMT 2023","277","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"failed","Tue Dec 12 01:42:19 GMT 2023","Tue Dec 12 01:42:20 GMT 2023","454","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"passed","Tue Dec 12 01:42:34 GMT 2023","Tue Dec 12 01:42:34 GMT 2023","503","chromium","example.spec.js","","","","has title",""
"failed","Tue Dec 12 01:42:27 GMT 2023","Tue Dec 12 01:42:28 GMT 2023","270","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"failed","Tue Dec 12 01:42:31 GMT 2023","Tue Dec 12 01:42:32 GMT 2023","265","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Tue Dec 12 01:42:24 GMT 2023","Tue Dec 12 01:42:24 GMT 2023","279","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"failed","Tue Dec 12 01:42:48 GMT 2023","Tue Dec 12 01:42:53 GMT 2023","5287","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"failed","Tue Dec 12 01:42:25 GMT 2023","Tue Dec 12 01:42:26 GMT 2023","440","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"passed","Tue Dec 12 01:42:34 GMT 2023","Tue Dec 12 01:42:35 GMT 2023","464","chromium","example.spec.js","","","","get started link",""
"failed","Tue Dec 12 01:42:36 GMT 2023","Tue Dec 12 01:42:37 GMT 2023","295","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Tue Dec 12 01:42:17 GMT 2023","Tue Dec 12 01:42:18 GMT 2023","433","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Tue Dec 12 01:42:22 GMT 2023","Tue Dec 12 01:42:22 GMT 2023","433","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
