"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 15 01:43:15 GMT 2023","Fri Dec 15 01:43:15 GMT 2023","391","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"passed","Fri Dec 15 01:43:25 GMT 2023","Fri Dec 15 01:43:26 GMT 2023","609","chromium","example.spec.js","","","","has title",""
"failed","Fri Dec 15 01:43:39 GMT 2023","Fri Dec 15 01:43:45 GMT 2023","5281","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"failed","Fri Dec 15 01:43:13 GMT 2023","Fri Dec 15 01:43:13 GMT 2023","269","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"failed","Fri Dec 15 01:43:09 GMT 2023","Fri Dec 15 01:43:09 GMT 2023","272","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Fri Dec 15 01:43:19 GMT 2023","Fri Dec 15 01:43:19 GMT 2023","287","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"passed","Fri Dec 15 01:43:26 GMT 2023","Fri Dec 15 01:43:26 GMT 2023","471","chromium","example.spec.js","","","","get started link",""
"failed","Fri Dec 15 01:43:28 GMT 2023","Fri Dec 15 01:43:28 GMT 2023","299","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Fri Dec 15 01:43:11 GMT 2023","Fri Dec 15 01:43:11 GMT 2023","256","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"failed","Fri Dec 15 01:43:25 GMT 2023","Fri Dec 15 01:43:25 GMT 2023","267","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"failed","Fri Dec 15 01:43:21 GMT 2023","Fri Dec 15 01:43:21 GMT 2023","266","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"failed","Fri Dec 15 01:43:23 GMT 2023","Fri Dec 15 01:43:23 GMT 2023","394","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Fri Dec 15 01:43:17 GMT 2023","Fri Dec 15 01:43:17 GMT 2023","283","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
