"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 01:40:53 GMT 2023","Mon Nov 06 01:40:54 GMT 2023","422","chromium","example.spec.js","","","","get started link",""
"failed","Mon Nov 06 01:40:52 GMT 2023","Mon Nov 06 01:40:52 GMT 2023","282","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"failed","Mon Nov 06 01:40:44 GMT 2023","Mon Nov 06 01:40:44 GMT 2023","288","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"failed","Mon Nov 06 01:40:39 GMT 2023","Mon Nov 06 01:40:40 GMT 2023","489","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"failed","Mon Nov 06 01:40:50 GMT 2023","Mon Nov 06 01:40:50 GMT 2023","303","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Mon Nov 06 01:40:37 GMT 2023","Mon Nov 06 01:40:38 GMT 2023","461","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"failed","Mon Nov 06 01:40:35 GMT 2023","Mon Nov 06 01:40:35 GMT 2023","293","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Mon Nov 06 01:40:42 GMT 2023","Mon Nov 06 01:40:42 GMT 2023","488","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"failed","Mon Nov 06 01:40:46 GMT 2023","Mon Nov 06 01:40:46 GMT 2023","414","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"failed","Mon Nov 06 01:40:55 GMT 2023","Mon Nov 06 01:40:55 GMT 2023","316","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Mon Nov 06 01:40:48 GMT 2023","Mon Nov 06 01:40:48 GMT 2023","296","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"passed","Mon Nov 06 01:40:53 GMT 2023","Mon Nov 06 01:40:53 GMT 2023","612","chromium","example.spec.js","","","","has title",""
"failed","Mon Nov 06 01:41:07 GMT 2023","Mon Nov 06 01:41:12 GMT 2023","5308","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
