"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 15 01:40:59 GMT 2023","Sun Oct 15 01:40:59 GMT 2023","11","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"passed","Sun Oct 15 01:40:59 GMT 2023","Sun Oct 15 01:40:59 GMT 2023","22","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"passed","Sun Oct 15 01:40:59 GMT 2023","Sun Oct 15 01:40:59 GMT 2023","19","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"passed","Sun Oct 15 01:41:03 GMT 2023","Sun Oct 15 01:41:04 GMT 2023","752","chromium","example.spec.js","","","","has title",""
"passed","Sun Oct 15 01:40:59 GMT 2023","Sun Oct 15 01:40:59 GMT 2023","14","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"passed","Sun Oct 15 01:41:01 GMT 2023","Sun Oct 15 01:41:03 GMT 2023","2205","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"passed","Sun Oct 15 01:41:00 GMT 2023","Sun Oct 15 01:41:01 GMT 2023","1031","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"passed","Sun Oct 15 01:40:59 GMT 2023","Sun Oct 15 01:41:00 GMT 2023","265","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"passed","Sun Oct 15 01:40:59 GMT 2023","Sun Oct 15 01:40:59 GMT 2023","13","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"passed","Sun Oct 15 01:41:10 GMT 2023","Sun Oct 15 01:41:12 GMT 2023","1934","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"passed","Sun Oct 15 01:41:05 GMT 2023","Sun Oct 15 01:41:10 GMT 2023","5774","chromium","login.spec.js","check information dashboard","","","test login successful",""
"passed","Sun Oct 15 01:40:53 GMT 2023","Sun Oct 15 01:40:59 GMT 2023","6688","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"passed","Sun Oct 15 01:41:04 GMT 2023","Sun Oct 15 01:41:05 GMT 2023","1119","chromium","example.spec.js","","","","get started link",""
