"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 31 01:44:39 GMT 2023","Sun Dec 31 01:44:39 GMT 2023","263","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"failed","Sun Dec 31 01:44:28 GMT 2023","Sun Dec 31 01:44:28 GMT 2023","283","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Sun Dec 31 01:44:45 GMT 2023","Sun Dec 31 01:44:46 GMT 2023","279","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Sun Dec 31 01:44:41 GMT 2023","Sun Dec 31 01:44:41 GMT 2023","264","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Sun Dec 31 01:44:35 GMT 2023","Sun Dec 31 01:44:35 GMT 2023","271","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"failed","Sun Dec 31 01:44:33 GMT 2023","Sun Dec 31 01:44:34 GMT 2023","265","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"passed","Sun Dec 31 01:44:43 GMT 2023","Sun Dec 31 01:44:44 GMT 2023","604","chromium","example.spec.js","","","","has title",""
"failed","Sun Dec 31 01:44:57 GMT 2023","Sun Dec 31 01:45:03 GMT 2023","5265","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"failed","Sun Dec 31 01:44:37 GMT 2023","Sun Dec 31 01:44:37 GMT 2023","274","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"failed","Sun Dec 31 01:44:43 GMT 2023","Sun Dec 31 01:44:43 GMT 2023","272","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"passed","Sun Dec 31 01:44:44 GMT 2023","Sun Dec 31 01:44:44 GMT 2023","589","chromium","example.spec.js","","","","get started link",""
"failed","Sun Dec 31 01:44:29 GMT 2023","Sun Dec 31 01:44:30 GMT 2023","264","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"failed","Sun Dec 31 01:44:31 GMT 2023","Sun Dec 31 01:44:32 GMT 2023","311","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
