"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 28 01:35:29 GMT 2023","Sat Oct 28 01:35:38 GMT 2023","9637","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"passed","Sat Oct 28 01:35:46 GMT 2023","Sat Oct 28 01:35:48 GMT 2023","1948","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"passed","Sat Oct 28 01:35:40 GMT 2023","Sat Oct 28 01:35:41 GMT 2023","1515","chromium","example.spec.js","","","","get started link",""
"passed","Sat Oct 28 01:34:13 GMT 2023","Sat Oct 28 01:34:19 GMT 2023","6517","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"passed","Sat Oct 28 01:34:19 GMT 2023","Sat Oct 28 01:34:26 GMT 2023","6962","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"passed","Sat Oct 28 01:35:22 GMT 2023","Sat Oct 28 01:35:29 GMT 2023","6957","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Sat Oct 28 01:35:09 GMT 2023","Sat Oct 28 01:35:15 GMT 2023","5652","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"passed","Sat Oct 28 01:35:15 GMT 2023","Sat Oct 28 01:35:22 GMT 2023","6304","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"passed","Sat Oct 28 01:34:06 GMT 2023","Sat Oct 28 01:34:13 GMT 2023","6477","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"passed","Sat Oct 28 01:34:26 GMT 2023","Sat Oct 28 01:34:32 GMT 2023","5394","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"passed","Sat Oct 28 01:35:38 GMT 2023","Sat Oct 28 01:35:40 GMT 2023","1188","chromium","example.spec.js","","","","has title",""
"passed","Sat Oct 28 01:35:41 GMT 2023","Sat Oct 28 01:35:46 GMT 2023","4906","chromium","login.spec.js","check information dashboard","","","test login successful",""
"passed","Sat Oct 28 01:34:00 GMT 2023","Sat Oct 28 01:34:06 GMT 2023","6297","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
