"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 07 01:47:04 GMT 2024","Sun Jan 07 01:47:04 GMT 2024","254","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Sun Jan 07 01:47:00 GMT 2024","Sun Jan 07 01:47:01 GMT 2024","275","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"failed","Sun Jan 07 01:47:09 GMT 2024","Sun Jan 07 01:47:09 GMT 2024","277","chromium","login.spec.js","check information dashboard","","","test login successful",""
"passed","Sun Jan 07 01:47:07 GMT 2024","Sun Jan 07 01:47:08 GMT 2024","568","chromium","example.spec.js","","","","get started link",""
"failed","Sun Jan 07 01:47:02 GMT 2024","Sun Jan 07 01:47:02 GMT 2024","264","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"failed","Sun Jan 07 01:47:21 GMT 2024","Sun Jan 07 01:47:26 GMT 2024","5271","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"passed","Sun Jan 07 01:47:06 GMT 2024","Sun Jan 07 01:47:07 GMT 2024","613","chromium","example.spec.js","","","","has title",""
"failed","Sun Jan 07 01:46:53 GMT 2024","Sun Jan 07 01:46:53 GMT 2024","271","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"failed","Sun Jan 07 01:46:58 GMT 2024","Sun Jan 07 01:46:59 GMT 2024","277","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"failed","Sun Jan 07 01:46:57 GMT 2024","Sun Jan 07 01:46:57 GMT 2024","266","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"failed","Sun Jan 07 01:47:06 GMT 2024","Sun Jan 07 01:47:06 GMT 2024","256","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"failed","Sun Jan 07 01:46:51 GMT 2024","Sun Jan 07 01:46:51 GMT 2024","410","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Sun Jan 07 01:46:55 GMT 2024","Sun Jan 07 01:46:55 GMT 2024","268","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
