"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 21 01:45:27 GMT 2023","Tue Nov 21 01:45:28 GMT 2023","287","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"passed","Tue Nov 21 01:45:35 GMT 2023","Tue Nov 21 01:45:36 GMT 2023","650","chromium","example.spec.js","","","","has title",""
"failed","Tue Nov 21 01:45:25 GMT 2023","Tue Nov 21 01:45:26 GMT 2023","296","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"failed","Tue Nov 21 01:45:33 GMT 2023","Tue Nov 21 01:45:33 GMT 2023","287","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Tue Nov 21 01:45:38 GMT 2023","Tue Nov 21 01:45:38 GMT 2023","326","chromium","login.spec.js","check information dashboard","","","test login successful",""
"passed","Tue Nov 21 01:45:36 GMT 2023","Tue Nov 21 01:45:37 GMT 2023","532","chromium","example.spec.js","","","","get started link",""
"failed","Tue Nov 21 01:45:22 GMT 2023","Tue Nov 21 01:45:22 GMT 2023","301","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"failed","Tue Nov 21 01:45:50 GMT 2023","Tue Nov 21 01:45:55 GMT 2023","5314","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"failed","Tue Nov 21 01:45:35 GMT 2023","Tue Nov 21 01:45:35 GMT 2023","269","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"failed","Tue Nov 21 01:45:23 GMT 2023","Tue Nov 21 01:45:24 GMT 2023","297","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"failed","Tue Nov 21 01:45:20 GMT 2023","Tue Nov 21 01:45:20 GMT 2023","291","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"failed","Tue Nov 21 01:45:29 GMT 2023","Tue Nov 21 01:45:29 GMT 2023","288","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
"failed","Tue Nov 21 01:45:31 GMT 2023","Tue Nov 21 01:45:31 GMT 2023","270","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
